allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR127	pQBR132	pQBR28	pQBR53	pQBR55	pQBR55R	pQG3rel01	pQG3rel02	pQG3rel03	pQG3rel04	pQG3rel05	pQG3rel06
g0022_0001	g0022	NA	Nif11 domain-containing protein	60	7	12	1	1	1	0	0	0	0	12	Nif11 domain-containing protein(12)	NA(12)	372	381	380.25	1	11	pQBR127_00056	pQBR132_00076	pQBR28_00056	pQBR53_00059	pQBR55_00083	pQBR55R_00059	pQG3rel01_00050	pQG3rel02_00064	pQG3rel03_00064	pQG3rel04_00065	pQG3rel05_00057	pQG3rel06_00061
g0037_0003	g0037	NA	Phosducin domain-containing protein	80	6	12	1	1	1	0	0	0	0	12	Phosducin domain-containing protein(12)	NA(12)	729	732	729.25	1	12	pQBR127_00055	pQBR132_00075	pQBR28_00055	pQBR53_00058	pQBR55_00082	pQBR55R_00058	pQG3rel01_00049	pQG3rel02_00063	pQG3rel03_00063	pQG3rel04_00064	pQG3rel05_00056	pQG3rel06_00060
g0038_0002	g0038	NA	Methylase-S domain-containing protein	70	6	12	1	1	1	0	0	0	0	12	Methylase-S domain-containing protein(8):Glyco-trans-2-like domain-containing protein(4)	NA(12)	588	708	650.00	2	1	pQBR127_00027	pQBR132_00036	pQBR28_00027	pQBR53_00030	pQBR55_00054	pQBR55R_00030	pQG3rel01_00015	pQG3rel02_00032	pQG3rel03_00032	pQG3rel04_00033	pQG3rel05_00025	pQG3rel06_00029
g0002_0006	g0002	NA	HTH cro/C1-type domain-containing protein	98	1	12	1	1	1	0	0	0	0	12	HTH cro/C1-type domain-containing protein(12)	NA(12)	690	690	690.00	2	2	pQBR127_00028	pQBR132_00037	pQBR28_00028	pQBR53_00031	pQBR55_00055	pQBR55R_00031	pQG3rel01_00016	pQG3rel02_00033	pQG3rel03_00033	pQG3rel04_00034	pQG3rel05_00026	pQG3rel06_00030
g0095_0005	g0095	NA	SLT domain-containing protein	95	4	12	1	1	1	0	0	0	0	12	SLT domain-containing protein(12)	NA(12)	537	561	555.00	2	3	pQBR127_00029	pQBR132_00038	pQBR28_00029	pQBR53_00032	pQBR55_00056	pQBR55R_00032	pQG3rel01_00017	pQG3rel02_00034	pQG3rel03_00034	pQG3rel04_00035	pQG3rel05_00027	pQG3rel06_00031
g0073_0005	g0073	NA	MCD-N domain-containing protein	95	5	12	1	1	1	0	0	0	0	12	MCD-N domain-containing protein(12)	NA(12)	477	477	477.00	2	4	pQBR127_00030	pQBR132_00039	pQBR28_00030	pQBR53_00033	pQBR55_00057	pQBR55R_00033	pQG3rel01_00018	pQG3rel02_00035	pQG3rel03_00035	pQG3rel04_00036	pQG3rel05_00028	pQG3rel06_00032
g0122_0005	g0122	flhC	Flagellar transcriptional activator FlhC	95	3	12	1	1	1	0	0	0	0	12	Flagellar transcriptional activator FlhC(12)	flhC(12)	651	651	651.00	2	5	pQBR127_00031	pQBR132_00040	pQBR28_00031	pQBR53_00034	pQBR55_00058	pQBR55R_00034	pQG3rel01_00019	pQG3rel02_00036	pQG3rel03_00036	pQG3rel04_00037	pQG3rel05_00029	pQG3rel06_00033
g0032_0004	g0032	NA	DNA helicase	90	6	12	1	1	1	0	0	0	0	12	DNA helicase(12)	NA(12)	1482	1482	1482.00	2	6	pQBR127_00032	pQBR132_00041	pQBR28_00032	pQBR53_00035	pQBR55_00059	pQBR55R_00035	pQG3rel01_00020	pQG3rel02_00037	pQG3rel03_00037	pQG3rel04_00038	pQG3rel05_00030	pQG3rel06_00034
g0119_0004	g0119	NA	Partitioning protein	90	3	12	1	1	1	0	0	0	0	12	Partitioning protein(12)	NA(12)	813	813	813.00	2	7	pQBR127_00033	pQBR132_00042	pQBR28_00033	pQBR53_00036	pQBR55_00060	pQBR55R_00036	pQG3rel01_00021	pQG3rel02_00038	pQG3rel03_00039	pQG3rel04_00040	pQG3rel05_00031	pQG3rel06_00035
g0060_0003	g0060	parB	ParB domain-containing protein	80	5	12	1	1	1	0	0	0	0	12	ParB domain-containing protein(12)	parB(12)	969	975	974.50	2	8	pQBR127_00034	pQBR132_00043	pQBR28_00034	pQBR53_00037	pQBR55_00061	pQBR55R_00037	pQG3rel01_00022	pQG3rel02_00039	pQG3rel03_00040	pQG3rel04_00041	pQG3rel05_00032	pQG3rel06_00036
g0044_0002	g0044	NA	Histidine kinase	70	6	12	1	1	1	0	0	0	0	12	Histidine kinase(8):tRNA-int-endo-N domain-containing protein(4)	NA(12)	474	474	474.00	2	9	pQBR127_00035	pQBR132_00044	pQBR28_00035	pQBR53_00038	pQBR55_00062	pQBR55R_00038	pQG3rel01_00023	pQG3rel02_00040	pQG3rel03_00041	pQG3rel04_00042	pQG3rel05_00033	pQG3rel06_00037
g0013	g0013	NA	DNA replication terminus site-binding protein	50	7	12	1	1	1	2	0	2	0	12	DNA replication terminus site-binding protein(9):DNA replication terminus site-binding protein (Ter protein)(3):hypothetical protein(2)	NA(14)	183	1092	855.43	2	10	pQBR127_00036	pQBR132_00046	pQBR28_00036	pQBR53_00039	pQBR55_00063	pQBR55R_00039	pQG3rel01_00025	pQG3rel02_00042	(pQG3rel03_00042:pQG3rel03_00043)	(pQG3rel04_00043:pQG3rel04_00044)	pQG3rel05_00035	pQG3rel06_00039
g0036_0003	g0036	secA	Protein p12	80	6	12	1	1	1	0	0	0	0	12	Protein p12(11):Protein export cytoplasm protein SecA ATPase RNA helicase(1)	NA(11):secA(1)	825	852	831.75	2	11	pQBR127_00037	pQBR132_00047	pQBR28_00037	pQBR53_00040	pQBR55_00064	pQBR55R_00040	pQG3rel01_00026	pQG3rel02_00043	pQG3rel03_00044	pQG3rel04_00045	pQG3rel05_00036	pQG3rel06_00040
g0066_0003	g0066	NA	DUF2189 domain-containing protein	80	5	12	1	1	1	0	0	0	0	12	DUF2189 domain-containing protein(8):ABC transporter permease(4)	NA(12)	810	828	826.50	3	1	pQBR127_00099	pQBR132_00120	pQBR28_00098	pQBR53_00127	pQBR55_00126	pQBR55R_00102	pQG3rel01_00106	pQG3rel02_00104	pQG3rel03_00111	pQG3rel04_00117	pQG3rel05_00095	pQG3rel06_00140
g0092_0004	g0092	NA	ARID domain-containing protein	90	4	12	1	1	1	0	0	0	0	12	ARID domain-containing protein(11):FGE-sulfatase domain-containing protein(1)	NA(12)	648	660	651.75	3	2	pQBR127_00098	pQBR132_00119	pQBR28_00097	pQBR53_00126	pQBR55_00125	pQBR55R_00101	pQG3rel01_00105	pQG3rel02_00103	pQG3rel03_00110	pQG3rel04_00116	pQG3rel05_00094	pQG3rel06_00139
g0050_0003	g0050	NA	TraI-2 domain-containing protein	80	5	12	1	1	1	0	0	0	0	12	TraI-2 domain-containing protein(12)	NA(12)	2631	2733	2724.50	3	3	pQBR127_00097	pQBR132_00118	pQBR28_00096	pQBR53_00125	pQBR55_00124	pQBR55R_00100	pQG3rel01_00104	pQG3rel02_00102	pQG3rel03_00109	pQG3rel04_00115	pQG3rel05_00093	pQG3rel06_00138
g0153_0005	g0153	NA	Conjugal transfer protein	95	2	12	1	1	1	0	0	0	0	12	Conjugal transfer protein(12)	NA(12)	1872	1872	1872.00	3	4	pQBR127_00096	pQBR132_00117	pQBR28_00095	pQBR53_00124	pQBR55_00123	pQBR55R_00099	pQG3rel01_00103	pQG3rel02_00101	pQG3rel03_00108	pQG3rel04_00114	pQG3rel05_00092	pQG3rel06_00137
g0097_0003	g0097	NA	Programmed cell death protein	80	4	12	1	1	1	0	0	0	0	12	Programmed cell death protein(8):HEAT repeat domain-containing protein(4)	NA(12)	339	474	428.50	3	5	pQBR127_00095	pQBR132_00116	pQBR28_00094	pQBR53_00123	pQBR55_00122	pQBR55R_00098	pQG3rel01_00102	pQG3rel02_00100	pQG3rel03_00107	pQG3rel04_00113	pQG3rel05_00091	pQG3rel06_00136
g0094_0004	g0094	NA	DUF4400 domain-containing protein	90	4	12	1	1	1	0	0	0	0	12	DUF4400 domain-containing protein(12)	NA(12)	645	645	645.00	3	6	pQBR127_00094	pQBR132_00115	pQBR28_00093	pQBR53_00122	pQBR55_00121	pQBR55R_00097	pQG3rel01_00101	pQG3rel02_00099	pQG3rel03_00106	pQG3rel04_00112	pQG3rel05_00090	pQG3rel06_00135
g0064_0004	g0064	NA	Thioredoxin-like-fold domain-containing protein	90	5	12	1	1	1	0	0	0	0	12	Thioredoxin-like-fold domain-containing protein(12)	NA(12)	855	855	855.00	3	7	pQBR127_00093	pQBR132_00114	pQBR28_00092	pQBR53_00121	pQBR55_00120	pQBR55R_00096	pQG3rel01_00100	pQG3rel02_00098	pQG3rel03_00105	pQG3rel04_00111	pQG3rel05_00089	pQG3rel06_00134
g0003_0006	g0003	traL	type IV conjugative transfer system protein TraL	98	1	12	1	1	1	0	0	0	0	12	type IV conjugative transfer system protein TraL(12)	traL(12)	282	282	282.00	3	8	pQBR127_00092	pQBR132_00113	pQBR28_00091	pQBR53_00120	pQBR55_00119	pQBR55R_00095	pQG3rel01_00099	pQG3rel02_00097	pQG3rel03_00104	pQG3rel04_00110	pQG3rel05_00088	pQG3rel06_00133
g0093_0005	g0093	traE	IncF plasmid conjugative transfer pilus assembly protein TraE	95	4	12	1	1	1	0	0	0	0	12	IncF plasmid conjugative transfer pilus assembly protein TraE(12)	traE(12)	648	648	648.00	3	9	pQBR127_00091	pQBR132_00112	pQBR28_00090	pQBR53_00119	pQBR55_00118	pQBR55R_00094	pQG3rel01_00098	pQG3rel02_00096	pQG3rel03_00103	pQG3rel04_00109	pQG3rel05_00087	pQG3rel06_00132
g0088_0003	g0088	traK	IncF plasmid conjugative transfer pilus assembly protein TraK	80	4	12	1	1	1	0	0	0	0	12	IncF plasmid conjugative transfer pilus assembly protein TraK(8):TraK protein(4)	traK(12)	1056	1059	1058.75	3	10	pQBR127_00090	pQBR132_00111	pQBR28_00089	pQBR53_00118	pQBR55_00117	pQBR55R_00093	pQG3rel01_00097	pQG3rel02_00095	pQG3rel03_00102	pQG3rel04_00108	pQG3rel05_00086	pQG3rel06_00131
g0085_0003	g0085	traB	IncF plasmid conjugative transfer pilus assembly protein TraB	80	4	12	1	1	1	0	0	0	0	12	IncF plasmid conjugative transfer pilus assembly protein TraB(8):Conjugal transfer protein TraB(4)	traB(12)	1323	1323	1323.00	3	11	pQBR127_00089	pQBR132_00110	pQBR28_00088	pQBR53_00117	pQBR55_00116	pQBR55R_00092	pQG3rel01_00096	pQG3rel02_00094	pQG3rel03_00101	pQG3rel04_00107	pQG3rel05_00085	pQG3rel06_00130
g0026_0004	g0026	copG	CopG family transcriptional regulator	90	7	12	1	1	1	0	0	0	0	12	CopG family transcriptional regulator(12)	copG(12)	141	141	141.00	4	1	pQBR127_00050	pQBR132_00070	pQBR28_00050	pQBR53_00053	pQBR55_00077	pQBR55R_00053	pQG3rel01_00045	pQG3rel02_00054	pQG3rel03_00058	pQG3rel04_00059	pQG3rel05_00048	pQG3rel06_00051
g0055_0004	g0055	NA	Prim-Zn-Ribbon domain-containing protein	90	5	12	1	1	1	0	0	0	0	12	Prim-Zn-Ribbon domain-containing protein(12)	NA(12)	1128	1128	1128.00	4	2	pQBR127_00049	pQBR132_00069	pQBR28_00049	pQBR53_00052	pQBR55_00076	pQBR55R_00052	pQG3rel01_00044	pQG3rel02_00053	pQG3rel03_00057	pQG3rel04_00058	pQG3rel05_00047	pQG3rel06_00050
g0023	g0023	NA	hypothetical protein	50	7	12	1	1	1	0	0	0	0	12	hypothetical protein(12)	NA(12)	261	285	280.00	4	3	pQBR127_00048	pQBR132_00068	pQBR28_00048	pQBR53_00051	pQBR55_00075	pQBR55R_00051	pQG3rel01_00043	pQG3rel02_00052	pQG3rel03_00056	pQG3rel04_00057	pQG3rel05_00046	pQG3rel06_00049
g0014_0003	g0014	NA	LAGLIDADG-2 domain-containing protein	80	7	12	1	1	1	0	0	0	0	12	LAGLIDADG-2 domain-containing protein(11):DUF3800 domain-containing protein(1)	NA(12)	735	735	735.00	4	4	pQBR127_00047	pQBR132_00067	pQBR28_00047	pQBR53_00050	pQBR55_00074	pQBR55R_00050	pQG3rel01_00042	pQG3rel02_00051	pQG3rel03_00055	pQG3rel04_00056	pQG3rel05_00045	pQG3rel06_00048
g0046_0003	g0046	NA	Phage protein	80	6	12	1	1	1	0	0	0	0	12	Phage protein(12)	NA(12)	462	462	462.00	4	5	pQBR127_00046	pQBR132_00066	pQBR28_00046	pQBR53_00049	pQBR55_00073	pQBR55R_00049	pQG3rel01_00041	pQG3rel02_00050	pQG3rel03_00054	pQG3rel04_00055	pQG3rel05_00044	pQG3rel06_00047
g0056_0004	g0056	NA	Tyr recombinase domain-containing protein	90	5	12	1	1	1	0	0	0	0	12	Tyr recombinase domain-containing protein(12)	NA(12)	879	1059	924.00	4	6	pQBR127_00045	pQBR132_00065	pQBR28_00045	pQBR53_00048	pQBR55_00072	pQBR55R_00048	pQG3rel01_00040	pQG3rel02_00049	pQG3rel03_00053	pQG3rel04_00054	pQG3rel05_00043	pQG3rel06_00046
g0186_0005	g0186	NA	ISAzo13 family transposase	95	2	12	1	1	1	0	0	0	0	12	ISAzo13 family transposase(12)	NA(12)	303	303	303.00	4	7	pQBR127_00044	pQBR132_00064	pQBR28_00044	pQBR53_00047	pQBR55_00071	pQBR55R_00047	pQG3rel01_00038	pQG3rel02_00048	pQG3rel03_00052	pQG3rel04_00053	pQG3rel05_00042	pQG3rel06_00045
g0057_0004	g0057	traF	IncF plasmid conjugative transfer pilus assembly protein TraF	90	5	12	1	1	1	0	0	0	0	12	IncF plasmid conjugative transfer pilus assembly protein TraF(12)	traF(12)	900	1029	1010.50	4	8	pQBR127_00043	pQBR132_00063	pQBR28_00043	pQBR53_00046	pQBR55_00070	pQBR55R_00046	pQG3rel01_00037	pQG3rel02_00047	pQG3rel03_00051	pQG3rel04_00052	pQG3rel05_00041	pQG3rel06_00044
g0114_0005	g0114	traH	Conjugal transfer protein TraH	95	3	12	1	1	1	0	0	0	0	12	Conjugal transfer protein TraH(12)	traH(12)	1425	1425	1425.00	4	9	pQBR127_00042	pQBR132_00062	pQBR28_00042	pQBR53_00045	pQBR55_00069	pQBR55R_00045	pQG3rel01_00036	pQG3rel02_00046	pQG3rel03_00050	pQG3rel04_00051	pQG3rel05_00040	pQG3rel06_00043
g0084_0004	g0084	NA	TraG-N domain-containing protein	90	4	12	1	1	1	0	0	0	0	12	TraG-N domain-containing protein(12)	NA(12)	2970	3120	2982.50	4	10	pQBR127_00041	pQBR132_00061	pQBR28_00041	pQBR53_00044	pQBR55_00068	pQBR55R_00044	pQG3rel01_00035	pQG3rel02_00045	pQG3rel03_00049	pQG3rel04_00050	pQG3rel05_00039	pQG3rel06_00042
g0034_0004	g0034	NA	Protein-disulfide isomerase	90	6	12	1	1	1	0	0	0	0	12	Protein-disulfide isomerase(11):Thioredoxin-like-fold domain-containing protein(1)	NA(12)	873	1047	917.25	5	1	pQBR127_00150	pQBR132_00145	pQBR28_00134	pQBR53_00172	pQBR55_00171	pQBR55R_00147	pQG3rel01_00120	pQG3rel02_00118	pQG3rel03_00136	pQG3rel04_00144	pQG3rel05_00109	pQG3rel06_00152
g0045_0003	g0045	dksA	TraR/DksA C4-type zinc finger protein	80	6	12	1	1	1	0	0	0	0	12	TraR/DksA C4-type zinc finger protein(11):DksA C4-type domain-containing protein(1)	NA(11):dksA(1)	405	465	415.00	5	2	pQBR127_00151	pQBR132_00146	pQBR28_00135	pQBR53_00173	pQBR55_00172	pQBR55R_00148	pQG3rel01_00122	pQG3rel02_00120	pQG3rel03_00137	pQG3rel04_00145	pQG3rel05_00111	pQG3rel06_00154
g0035_0003	g0035	NA	Alpha/beta hydrolase	80	6	12	1	1	1	0	0	0	0	12	Alpha/beta hydrolase(9):alpha/beta hydrolase(3)	NA(12)	894	906	902.75	5	3	pQBR127_00152	pQBR132_00147	pQBR28_00136	pQBR53_00174	pQBR55_00173	pQBR55R_00149	pQG3rel01_00123	pQG3rel02_00121	pQG3rel03_00138	pQG3rel04_00146	pQG3rel05_00112	pQG3rel06_00155
g0047_0002	g0047	NA	DUF3846 domain-containing protein	70	6	12	1	1	1	0	0	0	0	12	DUF3846 domain-containing protein(7):DUF4347 domain-containing protein(5)	NA(12)	432	450	442.50	5	4	pQBR127_00153	pQBR132_00148	pQBR28_00137	pQBR53_00175	pQBR55_00174	pQBR55R_00150	pQG3rel01_00124	pQG3rel02_00122	pQG3rel03_00139	pQG3rel04_00147	pQG3rel05_00113	pQG3rel06_00156
g0042_0001	g0042	NA	DUF2384 domain-containing protein	60	6	12	1	1	1	0	0	0	0	12	DUF2384 domain-containing protein(7):Transcriptional regulator(5)	NA(12)	498	516	499.50	5	5	pQBR127_00155	pQBR132_00149	pQBR28_00139	pQBR53_00177	pQBR55_00176	pQBR55R_00152	pQG3rel01_00126	pQG3rel02_00124	pQG3rel03_00141	pQG3rel04_00149	pQG3rel05_00115	pQG3rel06_00158
g0043_0002	g0043	NA	Cytochrome P450	70	6	12	1	1	1	0	0	0	0	12	Cytochrome P450(12)	NA(12)	471	516	489.00	5	6	pQBR127_00156	pQBR132_00150	pQBR28_00140	pQBR53_00178	pQBR55_00177	pQBR55R_00153	pQG3rel01_00128	pQG3rel02_00125	pQG3rel03_00142	pQG3rel04_00150	pQG3rel05_00116	pQG3rel06_00159
g0018_0002	g0018	NA	DUF2489 domain-containing protein	70	7	12	1	1	1	0	0	0	0	12	DUF2489 domain-containing protein(12)	NA(12)	441	444	443.75	5	7	pQBR127_00157	pQBR132_00151	pQBR28_00141	pQBR53_00179	pQBR55_00178	pQBR55R_00154	pQG3rel01_00129	pQG3rel02_00126	pQG3rel03_00143	pQG3rel04_00151	pQG3rel05_00117	pQG3rel06_00160
g0074_0003	g0074	NA	DUF3955 domain-containing protein	80	5	12	1	1	1	0	0	0	0	12	DUF3955 domain-containing protein(7):DUF3429 domain-containing protein(5)	NA(12)	474	474	474.00	5	8	pQBR127_00158	pQBR132_00152	pQBR28_00142	pQBR53_00180	pQBR55_00179	pQBR55R_00155	pQG3rel01_00131	pQG3rel02_00127	pQG3rel03_00144	pQG3rel04_00152	pQG3rel05_00118	pQG3rel06_00161
g0108_0005	g0108	traC	type IV secretion system protein TraC	95	2	12	1.08	1	2	0	1	0	1	13	type IV secretion system protein TraC(12):hypothetical protein(1)	traC(12):NA(1)	174	2403	2214.92	6	1	pQBR127_00084	pQBR132_00105	pQBR28_00083	pQBR53_00087;pQBR53_00112	pQBR55_00111	pQBR55R_00087	pQG3rel01_00091	pQG3rel02_00088	pQG3rel03_00096	pQG3rel04_00101	pQG3rel05_00080	pQG3rel06_00125
g0104_0004	g0104	cpaB	Flp pilus assembly protein CpaB	90	4	12	1	1	1	0	0	0	0	12	Flp pilus assembly protein CpaB(12)	cpaB(12)	309	309	309.00	6	2	pQBR127_00083	pQBR132_00104	pQBR28_00082	pQBR53_00086	pQBR55_00110	pQBR55R_00086	pQG3rel01_00090	pQG3rel02_00087	pQG3rel03_00095	pQG3rel04_00100	pQG3rel05_00079	pQG3rel06_00124
g0072_0004	g0072	lepB	signal peptidase I	90	5	12	1	1	1	0	0	0	0	12	signal peptidase I(12)	lepB(12)	519	519	519.00	6	3	pQBR127_00082	pQBR132_00103	pQBR28_00081	pQBR53_00085	pQBR55_00109	pQBR55R_00085	pQG3rel01_00089	pQG3rel02_00086	pQG3rel03_00094	pQG3rel04_00099	pQG3rel05_00078	pQG3rel06_00123
g0012_0003	g0012	traW	IncF plasmid conjugative transfer pilus assembly protein TraW	80	7	12	1	1	1	0	0	0	0	12	IncF plasmid conjugative transfer pilus assembly protein TraW(8):TrbC family F-type conjugative pilus assembly protein(3):Conjugal transfer protein(1)	traW(8):trbC(3):NA(1)	1116	1137	1135.25	6	4	pQBR127_00081	pQBR132_00102	pQBR28_00080	pQBR53_00084	pQBR55_00108	pQBR55R_00084	pQG3rel01_00088	pQG3rel02_00085	pQG3rel03_00093	pQG3rel04_00098	pQG3rel05_00077	pQG3rel06_00122
g0040_0002	g0040	NA	EAL domain-containing protein	70	6	12	1	1	1	0	0	0	0	12	EAL domain-containing protein(12)	NA(12)	681	681	681.00	6	5	pQBR127_00080	pQBR132_00101	pQBR28_00079	pQBR53_00083	pQBR55_00107	pQBR55R_00083	pQG3rel01_00087	pQG3rel02_00084	pQG3rel03_00092	pQG3rel04_00097	pQG3rel05_00076	pQG3rel06_00121
g0118_0005	g0118	traU	Conjugal transfer protein TraU	95	3	12	1	1	1	0	0	0	0	12	Conjugal transfer protein TraU(12)	traU(12)	1023	1023	1023.00	6	6	pQBR127_00079	pQBR132_00100	pQBR28_00078	pQBR53_00082	pQBR55_00106	pQBR55R_00082	pQG3rel01_00086	pQG3rel02_00083	pQG3rel03_00091	pQG3rel04_00096	pQG3rel05_00075	pQG3rel06_00120
g0029_0003	g0029	traN	conjugal transfer mating pair stabilization protein TraN	80	6	12	1	1	1	1	0	1	0	12	conjugal transfer mating pair stabilization protein TraN(13)	traN(13)	894	2700	2496.46	6	7	pQBR127_00078	pQBR132_00099	pQBR28_00077	pQBR53_00081	pQBR55_00105	pQBR55R_00081	pQG3rel01_00085	pQG3rel02_00082	pQG3rel03_00090	(pQG3rel04_00094:pQG3rel04_00095)	pQG3rel05_00074	pQG3rel06_00119
g0039_0004	g0039	NA	Zf-DNA-Pol domain-containing protein	90	6	12	1	1	1	0	0	0	0	12	Zf-DNA-Pol domain-containing protein(12)	NA(12)	627	708	647.25	7	1	pQBR127_00173	pQBR132_00172	pQBR28_00172	pQBR53_00195	pQBR55_00194	pQBR55R_00170	pQG3rel01_00174	pQG3rel02_00203	pQG3rel03_00161	pQG3rel04_00169	pQG3rel05_00163	pQG3rel06_00220
g0089_0004	g0089	NA	PAPS-reduct domain-containing protein	90	3	12	1	1	1	0	0	0	0	12	PAPS-reduct domain-containing protein(12)	NA(12)	867	963	950.50	7	2	pQBR127_00172	pQBR132_00171	pQBR28_00171	pQBR53_00194	pQBR55_00193	pQBR55R_00169	pQG3rel01_00173	pQG3rel02_00202	pQG3rel03_00160	pQG3rel04_00168	pQG3rel05_00162	pQG3rel06_00219
g0007_0003	g0007	NA	DNA-pol-B-thumb domain-containing protein	80	8	12	1	1	1	1	0	1	0	12	DNA-pol-B-thumb domain-containing protein(6):SUN domain-containing protein(6):hypothetical protein(1)	NA(13)	201	765	692.31	7	3	pQBR127_00171	pQBR132_00170	pQBR28_00170	pQBR53_00193	pQBR55_00192	pQBR55R_00168	pQG3rel01_00172	pQG3rel02_00201	pQG3rel03_00159	pQG3rel04_00167	pQG3rel05_00161	(pQG3rel06_00217:pQG3rel06_00218)
