allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR103	pQBR106p	pQBR11d	pQBR124	pQBR4	pQBR43	pQBR44d	pQBR47p	pQBR49	pQBR5	pQBR50d
g0041_0006	g0041	NA	DUF2574 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF2574 domain-containing protein(11)	NA(11)	324	324	324.00	1	11	pQBR103_00443	pQBR106p_00037	pQBR11d_00461	pQBR124_00440	pQBR4_00508	pQBR43_00507	pQBR44d_00059	pQBR47p_00232	pQBR49_00525	pQBR5_00440	pQBR50d_00495
g0002_0006	g0002	NA	Transposase	98	1	11	1	1	1	0	0	0	0	11	Transposase(11)	NA(11)	321	321	321.00	1	12	pQBR103_00444	pQBR106p_00038	pQBR11d_00462	pQBR124_00441	pQBR4_00509	pQBR43_00508	pQBR44d_00060	pQBR47p_00233	pQBR49_00526	pQBR5_00441	pQBR50d_00496
g0024_0006	g0024	NA	TNase-like domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	TNase-like domain-containing protein(11)	NA(11)	462	462	462.00	1	13	pQBR103_00445	pQBR106p_00039	pQBR11d_00463	pQBR124_00442	pQBR4_00510	pQBR43_00509	pQBR44d_00061	pQBR47p_00234	pQBR49_00527	pQBR5_00442	pQBR50d_00497
g0059_0006	g0059	NA	Lipoprotein	98	1	11	1	1	1	0	0	0	0	11	Lipoprotein(11)	NA(11)	315	315	315.00	1	14	pQBR103_00446	pQBR106p_00040	pQBR11d_00464	pQBR124_00443	pQBR4_00511	pQBR43_00510	pQBR44d_00062	pQBR47p_00235	pQBR49_00528	pQBR5_00443	pQBR50d_00498
g0077_0006	g0077	NA	Amidohydro-3 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Amidohydro-3 domain-containing protein(11)	NA(11)	384	384	384.00	1	15	pQBR103_00447	pQBR106p_00041	pQBR11d_00465	pQBR124_00444	pQBR4_00512	pQBR43_00511	pQBR44d_00063	pQBR47p_00236	pQBR49_00529	pQBR5_00444	pQBR50d_00499
g0009_0006	g0009	NA	3-phosphoshikimate 1-carboxyvinyltransferase	98	1	11	1	1	1	0	0	0	0	11	3-phosphoshikimate 1-carboxyvinyltransferase(11)	NA(11)	246	246	246.00	1	16	pQBR103_00448	pQBR106p_00042	pQBR11d_00466	pQBR124_00445	pQBR4_00513	pQBR43_00512	pQBR44d_00064	pQBR47p_00237	pQBR49_00530	pQBR5_00445	pQBR50d_00500
g0086_0006	g0086	NA	PIN domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	PIN domain-containing protein(11)	NA(11)	540	540	540.00	1	17	pQBR103_00449	pQBR106p_00043	pQBR11d_00467	pQBR124_00446	pQBR4_00514	pQBR43_00513	pQBR44d_00065	pQBR47p_00238	pQBR49_00531	pQBR5_00446	pQBR50d_00501
g0017_0006	g0017	NA	Phasin-2 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Phasin-2 domain-containing protein(11)	NA(11)	483	483	483.00	1	18	pQBR103_00450	pQBR106p_00044	pQBR11d_00468	pQBR124_00447	pQBR4_00515	pQBR43_00514	pQBR44d_00066	pQBR47p_00239	pQBR49_00532	pQBR5_00447	pQBR50d_00502
g0023_0006	g0023	NA	Protein-tyrosine-phosphatase	98	1	11	1	1	1	0	0	0	0	11	Protein-tyrosine-phosphatase(11)	NA(11)	372	372	372.00	1	19	pQBR103_00451	pQBR106p_00045	pQBR11d_00469	pQBR124_00448	pQBR4_00516	pQBR43_00515	pQBR44d_00067	pQBR47p_00240	pQBR49_00533	pQBR5_00448	pQBR50d_00503
g0014_0006	g0014	NA	CBM-48 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	CBM-48 domain-containing protein(11)	NA(11)	417	417	417.00	1	20	pQBR103_00452	pQBR106p_00046	pQBR11d_00470	pQBR124_00449	pQBR4_00517	pQBR43_00516	pQBR44d_00068	pQBR47p_00241	pQBR49_00534	pQBR5_00449	pQBR50d_00504
g0044_0006	g0044	NA	Putative helicase	98	1	11	1	1	1	0	0	0	0	11	Putative helicase(10):AAA family ATPase(1)	NA(11)	1941	1941	1941.00	1	21	pQBR103_00453	pQBR106p_00047	pQBR11d_00471	pQBR124_00450	pQBR4_00518	pQBR43_00517	pQBR44d_00069	pQBR47p_00242	pQBR49_00535	pQBR5_00450	pQBR50d_00505
g0160_0001	g0160	NA	Lipoprotein	60	2	11	1	1	1	0	0	0	0	11	Lipoprotein(10):Flavodoxin-like domain-containing protein(1)	NA(11)	561	561	561.00	1	22	pQBR103_00454	pQBR106p_00048	pQBR11d_00472	pQBR124_00451	pQBR4_00519	pQBR43_00518	pQBR44d_00070	pQBR47p_00243	pQBR49_00536	pQBR5_00451	pQBR50d_00506
g0109_0006	g0109	NA	OrfB-Zn-ribbon domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	OrfB-Zn-ribbon domain-containing protein(11)	NA(11)	975	975	975.00	1	23	pQBR103_00455	pQBR106p_00049	pQBR11d_00473	pQBR124_00452	pQBR4_00520	pQBR43_00519	pQBR44d_00071	pQBR47p_00244	pQBR49_00537	pQBR5_00452	pQBR50d_00507
g0084_0006	g0084	NA	Putative cold shock domain transmembrane protein	98	1	11	1	1	1	0	0	0	0	11	Putative cold shock domain transmembrane protein(11)	NA(11)	807	849	810.82	1	24	pQBR103_00456	pQBR106p_00050	pQBR11d_00474	pQBR124_00453	pQBR4_00521	pQBR43_00520	pQBR44d_00072	pQBR47p_00245	pQBR49_00538	pQBR5_00453	pQBR50d_00508
g0172_0003	g0172	NA	DUF4376 domain-containing protein	80	2	11	1	1	1	0	0	0	0	11	DUF4376 domain-containing protein(10):DUF177 domain-containing protein(1)	NA(11)	462	465	462.27	1	25	pQBR103_00457	pQBR106p_00051	pQBR11d_00475	pQBR124_00454	pQBR4_00522	pQBR43_00521	pQBR44d_00073	pQBR47p_00246	pQBR49_00539	pQBR5_00454	pQBR50d_00509
g0181_0005	g0181	NA	Barstar domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	Barstar domain-containing protein(11)	NA(11)	378	378	378.00	1	26	pQBR103_00458	pQBR106p_00052	pQBR11d_00476	pQBR124_00455	pQBR4_00523	pQBR43_00522	pQBR44d_00074	pQBR47p_00247	pQBR49_00540	pQBR5_00455	pQBR50d_00510
g0039_0006	g0039	pnuC	Nicotinamide riboside transporter PnuC	98	1	11	1	1	1	0	0	0	0	11	Nicotinamide riboside transporter PnuC(11)	pnuC(11)	255	255	255.00	1	27	pQBR103_00459	pQBR106p_00053	pQBR11d_00477	pQBR124_00456	pQBR4_00524	pQBR43_00523	pQBR44d_00075	pQBR47p_00248	pQBR49_00541	pQBR5_00456	pQBR50d_00511
g0168_0005	g0168	NA	Putative DNAJ family protein	95	2	11	1	1	1	0	0	0	0	11	Putative DNAJ family protein(11)	NA(11)	501	501	501.00	1	28	pQBR103_00460	pQBR106p_00054	pQBR11d_00478	pQBR124_00457	pQBR4_00525	pQBR43_00524	pQBR44d_00076	pQBR47p_00249	pQBR49_00542	pQBR5_00457	pQBR50d_00512
g0140_0005	g0140	NA	MIB/HERC2 domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	MIB/HERC2 domain-containing protein(11)	NA(11)	984	984	984.00	1	29	pQBR103_00461	pQBR106p_00055	pQBR11d_00479	pQBR124_00458	pQBR4_00526	pQBR43_00525	pQBR44d_00077	pQBR47p_00250	pQBR49_00543	pQBR5_00458	pQBR50d_00513
g0116_0005	g0116	NA	DUF222 domain-containing protein	95	3	11	1	1	1	0	0	0	0	11	DUF222 domain-containing protein(11)	NA(11)	420	420	420.00	1	30	pQBR103_00462	pQBR106p_00056	pQBR11d_00480	pQBR124_00459	pQBR4_00527	pQBR43_00526	pQBR44d_00078	pQBR47p_00251	pQBR49_00544	pQBR5_00459	pQBR50d_00514
g0068_0006	g0068	NA	VRR-NUC domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	VRR-NUC domain-containing protein(11)	NA(11)	477	477	477.00	1	31	pQBR103_00463	pQBR106p_00057	pQBR11d_00481	pQBR124_00460	pQBR4_00528	pQBR43_00527	pQBR44d_00079	pQBR47p_00252	pQBR49_00545	pQBR5_00460	pQBR50d_00515
g0029_0006	g0029	NA	Helicase ATP-binding domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Helicase ATP-binding domain-containing protein(11)	NA(11)	1665	1665	1665.00	1	32	pQBR103_00464	pQBR106p_00058	pQBR11d_00482	pQBR124_00461	pQBR4_00529	pQBR43_00528	pQBR44d_00080	pQBR47p_00253	pQBR49_00546	pQBR5_00461	pQBR50d_00516
g0097_0006	g0097	NA	Reelin domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Reelin domain-containing protein(11)	NA(11)	516	528	518.18	1	33	pQBR103_00465	pQBR106p_00059	pQBR11d_00483	pQBR124_00462	pQBR4_00530	pQBR43_00529	pQBR44d_00081	pQBR47p_00254	pQBR49_00547	pQBR5_00462	pQBR50d_00517
g0049_0006	g0049	NA	KilA-N domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	KilA-N domain-containing protein(11)	NA(11)	735	735	735.00	1	34	pQBR103_00466	pQBR106p_00060	pQBR11d_00484	pQBR124_00463	pQBR4_00531	pQBR43_00530	pQBR44d_00082	pQBR47p_00255	pQBR49_00548	pQBR5_00463	pQBR50d_00518
g0099_0006	g0099	NA	Beta-ketoacyl synthase	98	1	11	1	1	1	0	0	0	0	11	Beta-ketoacyl synthase(11)	NA(11)	324	324	324.00	1	35	pQBR103_00467	pQBR106p_00062	pQBR11d_00486	pQBR124_00465	pQBR4_00533	pQBR43_00532	pQBR44d_00084	pQBR47p_00257	pQBR49_00550	pQBR5_00465	pQBR50d_00520
g0074_0006	g0074	NA	DUF262 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF262 domain-containing protein(11)	NA(11)	528	528	528.00	1	36	pQBR103_00468	pQBR106p_00063	pQBR11d_00487	pQBR124_00466	pQBR4_00534	pQBR43_00533	pQBR44d_00085	pQBR47p_00258	pQBR49_00551	pQBR5_00466	pQBR50d_00521
g0170_0005	g0170	NA	DUF3568 domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	DUF3568 domain-containing protein(11)	NA(11)	498	498	498.00	1	37	pQBR103_00469	pQBR106p_00064	pQBR11d_00488	pQBR124_00467	pQBR4_00535	pQBR43_00534	pQBR44d_00086	pQBR47p_00259	pQBR49_00552	pQBR5_00467	pQBR50d_00522
g0104_0006	g0104	NA	Arc domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Arc domain-containing protein(11)	NA(11)	489	489	489.00	1	38	pQBR103_00470	pQBR106p_00065	pQBR11d_00489	pQBR124_00468	pQBR4_00536	pQBR43_00535	pQBR44d_00087	pQBR47p_00260	pQBR49_00553	pQBR5_00468	pQBR50d_00523
g0102_0006	g0102	NA	hypothetical protein	98	1	11	1	1	1	0	0	0	0	11	hypothetical protein(9):SmpA-OmlA domain-containing protein(2)	NA(11)	165	381	204.27	2	1	pQBR103_00471	pQBR106p_00076	pQBR11d_00490	pQBR124_00479	pQBR4_00547	pQBR43_00546	pQBR44d_00098	pQBR47p_00271	pQBR49_00564	pQBR5_00479	pQBR50d_00534
g0147_0005	g0147	NA	N6-Mtase domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	N6-Mtase domain-containing protein(11)	NA(11)	711	807	798.27	2	2	pQBR103_00472	pQBR106p_00077	pQBR11d_00491	pQBR124_00480	pQBR4_00591	pQBR43_00547	pQBR44d_00099	pQBR47p_00272	pQBR49_00565	pQBR5_00480	pQBR50d_00617
g0092_0006	g0092	yebG	YebG family protein	98	1	11	1	1	1	0	0	0	0	11	YebG family protein(11)	yebG(11)	255	261	256.09	2	3	pQBR103_00473	pQBR106p_00078	pQBR11d_00492	pQBR124_00481	pQBR4_00592	pQBR43_00548	pQBR44d_00100	pQBR47p_00273	pQBR49_00566	pQBR5_00481	pQBR50d_00618
g0087_0006	g0087	NA	UPF0033 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	UPF0033 domain-containing protein(11)	NA(11)	264	264	264.00	2	4	pQBR103_00474	pQBR106p_00079	pQBR11d_00493	pQBR124_00482	pQBR4_00593	pQBR43_00549	pQBR44d_00101	pQBR47p_00274	pQBR49_00567	pQBR5_00482	pQBR50d_00619
g0203_0005	g0203	NA	Transposase	95	2	11	1	1	1	0	0	0	0	11	Transposase(11)	NA(11)	222	222	222.00	2	5	pQBR103_00475	pQBR106p_00080	pQBR11d_00494	pQBR124_00483	pQBR4_00594	pQBR43_00550	pQBR44d_00102	pQBR47p_00275	pQBR49_00568	pQBR5_00483	pQBR50d_00620
g0200_0005	g0200	NA	HPr kinase/phosphorylase	95	2	11	1	1	1	0	0	0	0	11	HPr kinase/phosphorylase(11)	NA(11)	258	258	258.00	2	6	pQBR103_00476	pQBR106p_00081	pQBR11d_00495	pQBR124_00484	pQBR4_00595	pQBR43_00551	pQBR44d_00103	pQBR47p_00276	pQBR49_00569	pQBR5_00484	pQBR50d_00621
g0079_0006	g0079	ybjN	YbjN domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	YbjN domain-containing protein(11)	ybjN(11)	399	399	399.00	2	7	pQBR103_00477	pQBR106p_00082	pQBR11d_00496	pQBR124_00485	pQBR4_00596	pQBR43_00552	pQBR44d_00104	pQBR47p_00277	pQBR49_00570	pQBR5_00485	pQBR50d_00622
g0083_0006	g0083	NA	Replication protein	98	1	11	1	1	1	0	0	0	0	11	Replication protein(11)	NA(11)	1158	1158	1158.00	2	8	pQBR103_00478	pQBR106p_00083	pQBR11d_00497	pQBR124_00486	pQBR4_00597	pQBR43_00553	pQBR44d_00105	pQBR47p_00278	pQBR49_00571	pQBR5_00486	pQBR50d_00623
g0089_0006	g0089	NA	DUF4371 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF4371 domain-containing protein(11)	NA(11)	291	291	291.00	2	9	pQBR103_00479	pQBR106p_00084	pQBR11d_00498	pQBR124_00487	pQBR4_00598	pQBR43_00554	pQBR44d_00106	pQBR47p_00279	pQBR49_00572	pQBR5_00487	pQBR50d_00624
g0063_0006	g0063	NA	Sulfate exporter family transporter	98	1	11	1	1	1	0	0	0	0	11	Sulfate exporter family transporter(11)	NA(11)	390	390	390.00	2	10	pQBR103_00480	pQBR106p_00085	pQBR11d_00499	pQBR124_00488	pQBR4_00599	pQBR43_00555	pQBR44d_00107	pQBR47p_00280	pQBR49_00573	pQBR5_00488	pQBR50d_00625
g0052_0006	g0052	NA	Insecticidal toxin protein	98	1	11	1	1	1	0	0	0	0	11	Insecticidal toxin protein(11)	NA(11)	756	756	756.00	2	11	pQBR103_00481	pQBR106p_00086	pQBR11d_00500	pQBR124_00489	pQBR4_00600	pQBR43_00556	pQBR44d_00108	pQBR47p_00281	pQBR49_00574	pQBR5_00489	pQBR50d_00626
g0185_0005	g0185	NA	Nitro-FeMo-Co domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	Nitro-FeMo-Co domain-containing protein(11)	NA(11)	369	369	369.00	2	12	pQBR103_00482	pQBR106p_00087	pQBR11d_00501	pQBR124_00490	pQBR4_00601	pQBR43_00557	pQBR44d_00109	pQBR47p_00282	pQBR49_00575	pQBR5_00490	pQBR50d_00627
g0133_0004	g0133	NA	PAPS-reduct domain-containing protein	90	2	11	1	1	1	1	0	1	0	11	PAPS-reduct domain-containing protein(10):hypothetical protein(2)	NA(12)	393	1164	1058.25	2	13	pQBR103_00483	pQBR106p_00088	pQBR11d_00502	pQBR124_00491	pQBR4_00602	pQBR43_00558	pQBR44d_00110	pQBR47p_00283	(pQBR49_00576:pQBR49_00613)	pQBR5_00491	pQBR50d_00628
g0072_0006	g0072	NA	Cupin	98	1	11	1	1	1	0	0	0	0	11	Cupin(11)	NA(11)	525	525	525.00	2	14	pQBR103_00484	pQBR106p_00089	pQBR11d_00503	pQBR124_00492	pQBR4_00603	pQBR43_00559	pQBR44d_00111	pQBR47p_00284	pQBR49_00614	pQBR5_00492	pQBR50d_00629
g0075_0006	g0075	NA	WYL domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	WYL domain-containing protein(11)	NA(11)	471	471	471.00	2	15	pQBR103_00485	pQBR106p_00090	pQBR11d_00504	pQBR124_00493	pQBR4_00604	pQBR43_00560	pQBR44d_00112	pQBR47p_00285	pQBR49_00615	pQBR5_00493	pQBR50d_00630
g0095_0006	g0095	hicB	Antitoxin HicB	98	1	11	1	1	1	0	0	0	0	11	Antitoxin HicB(11)	hicB(11)	315	315	315.00	2	16	pQBR103_00486	pQBR106p_00091	pQBR11d_00505	pQBR124_00494	pQBR4_00605	pQBR43_00561	pQBR44d_00113	pQBR47p_00286	pQBR49_00616	pQBR5_00494	pQBR50d_00631
g0048_0006	g0048	NA	Exported protein	98	1	11	1	1	1	0	0	0	0	11	Exported protein(11)	NA(11)	1089	1089	1089.00	2	17	pQBR103_00487	pQBR106p_00092	pQBR11d_00506	pQBR124_00495	pQBR4_00606	pQBR43_00562	pQBR44d_00114	pQBR47p_00287	pQBR49_00617	pQBR5_00495	pQBR50d_00632
g0098_0006	g0098	cpxP	hypothetical protein	98	1	11	1	1	1	0	0	0	0	11	hypothetical protein(7):CpxP family protein(4)	NA(7):cpxP(4)	456	594	543.82	2	18	pQBR103_00488	pQBR106p_00093	pQBR11d_00507	pQBR124_00496	pQBR4_00607	pQBR43_00563	pQBR44d_00115	pQBR47p_00288	pQBR49_00618	pQBR5_00496	pQBR50d_00633
g0001_0006	g0001	NA	Holin	98	1	11	1	1	1	0	0	0	0	11	Holin(11)	NA(11)	192	192	192.00	2	19	pQBR103_00489	pQBR106p_00094	pQBR11d_00508	pQBR124_00497	pQBR4_00608	pQBR43_00564	pQBR44d_00116	pQBR47p_00289	pQBR49_00619	pQBR5_00540	pQBR50d_00634
g0106_0006	g0106	NA	ABC transporter permease	98	1	11	1	1	1	0	0	0	0	11	ABC transporter permease(9):MFS transporter(2)	NA(11)	192	309	287.73	2	20	pQBR103_00491	pQBR106p_00095	pQBR11d_00510	pQBR124_00498	pQBR4_00609	pQBR43_00565	pQBR44d_00117	pQBR47p_00290	pQBR49_00620	pQBR5_00541	pQBR50d_00635
g0057_0006	g0057	NA	LPD18 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	LPD18 domain-containing protein(11)	NA(11)	333	333	333.00	2	21	pQBR103_00492	pQBR106p_00096	pQBR11d_00511	pQBR124_00499	pQBR4_00610	pQBR43_00566	pQBR44d_00118	pQBR47p_00291	pQBR49_00621	pQBR5_00542	pQBR50d_00636
g0053_0006	g0053	NA	DUF2958 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF2958 domain-containing protein(11)	NA(11)	636	636	636.00	2	22	pQBR103_00493	pQBR106p_00097	pQBR11d_00512	pQBR124_00500	pQBR4_00611	pQBR43_00567	pQBR44d_00119	pQBR47p_00292	pQBR49_00622	pQBR5_00543	pQBR50d_00637
g0006_0006	g0006	NA	DUF1963 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF1963 domain-containing protein(11)	NA(11)	825	825	825.00	2	23	pQBR103_00494	pQBR106p_00098	pQBR11d_00513	pQBR124_00501	pQBR4_00612	pQBR43_00568	pQBR44d_00120	pQBR47p_00293	pQBR49_00623	pQBR5_00544	pQBR50d_00638
g0020_0006	g0020	NA	Alpha-carbonic anhydrase domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Alpha-carbonic anhydrase domain-containing protein(11)	NA(11)	288	288	288.00	2	24	pQBR103_00495	pQBR106p_00099	pQBR11d_00514	pQBR124_00502	pQBR4_00613	pQBR43_00569	pQBR44d_00121	pQBR47p_00294	pQBR49_00624	pQBR5_00545	pQBR50d_00639
g0046_0006	g0046	NA	Lipoprotein	98	1	11	1	1	1	0	0	0	0	11	Lipoprotein(11)	NA(11)	618	618	618.00	2	25	pQBR103_00496	pQBR106p_00100	pQBR11d_00515	pQBR124_00503	pQBR4_00614	pQBR43_00570	pQBR44d_00122	pQBR47p_00295	pQBR49_00625	pQBR5_00546	pQBR50d_00640
g0055_0006	g0055	NA	HTH araC/xylS-type domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	HTH araC/xylS-type domain-containing protein(11)	NA(11)	375	375	375.00	2	26	pQBR103_00497	pQBR106p_00101	pQBR11d_00516	pQBR124_00504	pQBR4_00615	pQBR43_00571	pQBR44d_00123	pQBR47p_00296	pQBR49_00626	pQBR5_00547	pQBR50d_00641
g0051_0006	g0051	NA	DUF1611 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF1611 domain-containing protein(11)	NA(11)	879	879	879.00	2	27	pQBR103_00498	pQBR106p_00102	pQBR11d_00517	pQBR124_00505	pQBR4_00616	pQBR43_00572	pQBR44d_00124	pQBR47p_00297	pQBR49_00627	pQBR5_00548	pQBR50d_00642
g0123_0004	g0123	NA	DNA helicase	90	2	11	1	1	1	0	0	0	0	11	DNA helicase(11)	NA(11)	1494	1494	1494.00	2	28	pQBR103_00499	pQBR106p_00103	pQBR11d_00518	pQBR124_00506	pQBR4_00617	pQBR43_00573	pQBR44d_00125	pQBR47p_00298	pQBR49_00628	pQBR5_00549	pQBR50d_00643
g0144_0004	g0144	NA	MOSC domain-containing protein	90	2	11	1	1	1	0	0	0	0	11	MOSC domain-containing protein(11)	NA(11)	729	864	839.45	2	29	pQBR103_00500	pQBR106p_00104	pQBR11d_00519	pQBR124_00507	pQBR4_00618	pQBR43_00574	pQBR44d_00126	pQBR47p_00299	pQBR49_00629	pQBR5_00550	pQBR50d_00644
g0122_0005	g0122	NA	DUF4942 domain-containing protein	95	2	11	1	1	1	0	0	0	0	11	DUF4942 domain-containing protein(11)	NA(11)	1602	1602	1602.00	2	30	pQBR103_00501	pQBR106p_00105	pQBR11d_00520	pQBR124_00508	pQBR4_00619	pQBR43_00575	pQBR44d_00127	pQBR47p_00300	pQBR49_00630	pQBR5_00551	pQBR50d_00645
g0045_0006	g0045	NA	OmpA-like domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	OmpA-like domain-containing protein(11)	NA(11)	663	663	663.00	2	31	pQBR103_00502	pQBR106p_00106	pQBR11d_00521	pQBR124_00509	pQBR4_00620	pQBR43_00576	pQBR44d_00128	pQBR47p_00301	pQBR49_00631	pQBR5_00552	pQBR50d_00646
g0050_0006	g0050	NA	DUF882 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	DUF882 domain-containing protein(11)	NA(11)	708	708	708.00	2	32	pQBR103_00503	pQBR106p_00107	pQBR11d_00522	pQBR124_00510	pQBR4_00621	pQBR43_00577	pQBR44d_00129	pQBR47p_00302	pQBR49_00632	pQBR5_00553	pQBR50d_00647
g0156_0004	g0156	NA	DUF1330 domain-containing protein	90	2	11	1	1	1	0	0	0	0	11	DUF1330 domain-containing protein(11)	NA(11)	648	648	648.00	2	33	pQBR103_00504	pQBR106p_00108	pQBR11d_00523	pQBR124_00511	pQBR4_00622	pQBR43_00578	pQBR44d_00130	pQBR47p_00303	pQBR49_00633	pQBR5_00554	pQBR50d_00648
