allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR103	pQBR106p	pQBR11d	pQBR124	pQBR4	pQBR43	pQBR44d	pQBR47p	pQBR49	pQBR5	pQBR50d	pQG1rel01	pQG1rel02	pQG1rel03	pQG1rel04	pQG1rel05	pQG1rel06	pQG1rel07	pQG1rel08	pQG1rel09
g0458_0003	g0458	NA	HD-domain domain-containing protein	80	2	20	1	1	1	0	0	0	0	20	HD-domain domain-containing protein(15):Deoxyguanosinetriphosphate triphosphohydrolase(5)	NA(20)	531	534	533.25	2	4	pQBR103_00547	pQBR106p_00141	pQBR11d_00555	pQBR124_00544	pQBR4_00655	pQBR43_00611	pQBR44d_00188	pQBR47p_00335	pQBR49_00709	pQBR5_00587	pQBR50d_00681	pQG1rel01_00547	pQG1rel02_00467	pQG1rel03_00467	pQG1rel04_00641	pQG1rel05_00542	pQG1rel06_00548	pQG1rel07_00542	pQG1rel08_00586	pQG1rel09_00534
g0474_0003	g0474	NA	Hypothetical exported protein	80	2	20	1	1	1	0	0	0	0	20	Hypothetical exported protein(15):Lipoprotein(5)	NA(20)	477	477	477.00	2	5	pQBR103_00546	pQBR106p_00140	pQBR11d_00554	pQBR124_00543	pQBR4_00654	pQBR43_00610	pQBR44d_00187	pQBR47p_00334	pQBR49_00708	pQBR5_00586	pQBR50d_00680	pQG1rel01_00546	pQG1rel02_00466	pQG1rel03_00466	pQG1rel04_00640	pQG1rel05_00541	pQG1rel06_00547	pQG1rel07_00541	pQG1rel08_00585	pQG1rel09_00533
g0435_0003	g0435	NA	Menaquinone-specific isochorismate synthase	80	2	20	1	1	1	0	0	0	0	20	Menaquinone-specific isochorismate synthase(15):T2SSG domain-containing protein(5)	NA(20)	693	693	693.00	2	6	pQBR103_00545	pQBR106p_00139	pQBR11d_00553	pQBR124_00542	pQBR4_00653	pQBR43_00609	pQBR44d_00186	pQBR47p_00333	pQBR49_00707	pQBR5_00585	pQBR50d_00679	pQG1rel01_00545	pQG1rel02_00465	pQG1rel03_00465	pQG1rel04_00639	pQG1rel05_00540	pQG1rel06_00546	pQG1rel07_00540	pQG1rel08_00584	pQG1rel09_00532
g0541_0003	g0541	NA	Addiction module protein	80	2	20	1	1	1	0	0	0	0	20	Addiction module protein(15):Prophage PssSM-01(5)	NA(20)	246	246	246.00	2	7	pQBR103_00544	pQBR106p_00138	pQBR11d_00552	pQBR124_00541	pQBR4_00652	pQBR43_00608	pQBR44d_00185	pQBR47p_00332	pQBR49_00706	pQBR5_00584	pQBR50d_00678	pQG1rel01_00544	pQG1rel02_00464	pQG1rel03_00464	pQG1rel04_00638	pQG1rel05_00539	pQG1rel06_00545	pQG1rel07_00539	pQG1rel08_00583	pQG1rel09_00531
g0411_0005	g0411	rdgC	recombination-associated protein RdgC	95	2	20	1	1	1	0	0	0	0	20	recombination-associated protein RdgC(19):Recombination-associated protein RdgC(1)	rdgC(20)	516	921	900.75	2	8	pQBR103_00543	pQBR106p_00137	pQBR11d_00551	pQBR124_00540	pQBR4_00651	pQBR43_00607	pQBR44d_00159	pQBR47p_00331	pQBR49_00705	pQBR5_00583	pQBR50d_00677	pQG1rel01_00543	pQG1rel02_00463	pQG1rel03_00463	pQG1rel04_00637	pQG1rel05_00538	pQG1rel06_00544	pQG1rel07_00538	pQG1rel08_00582	pQG1rel09_00530
g0489_0005	g0489	NA	HTH cro/C1-type domain-containing protein	95	2	20	1	1	1	0	0	0	0	20	HTH cro/C1-type domain-containing protein(20)	NA(20)	390	390	390.00	2	9	pQBR103_00542	pQBR106p_00136	pQBR11d_00550	pQBR124_00539	pQBR4_00650	pQBR43_00606	pQBR44d_00158	pQBR47p_00330	pQBR49_00704	pQBR5_00582	pQBR50d_00676	pQG1rel01_00542	pQG1rel02_00462	pQG1rel03_00462	pQG1rel04_00636	pQG1rel05_00537	pQG1rel06_00543	pQG1rel07_00537	pQG1rel08_00581	pQG1rel09_00529
g0479_0003	g0479	NA	DUF2513 domain-containing protein	80	2	20	1	1	1	0	0	0	0	20	DUF2513 domain-containing protein(20)	NA(20)	453	453	453.00	2	10	pQBR103_00541	pQBR106p_00135	pQBR11d_00549	pQBR124_00538	pQBR4_00649	pQBR43_00605	pQBR44d_00157	pQBR47p_00329	pQBR49_00703	pQBR5_00581	pQBR50d_00675	pQG1rel01_00541	pQG1rel02_00461	pQG1rel03_00461	pQG1rel04_00635	pQG1rel05_00536	pQG1rel06_00542	pQG1rel07_00536	pQG1rel08_00580	pQG1rel09_00528
g0433_0003	g0433	csgG	Curli production assembly/transport component CsgG	80	2	20	1	1	1	0	0	0	0	20	Curli production assembly/transport component CsgG(15):Riboflavin synthase(5)	csgG(15):NA(5)	696	696	696.00	2	11	pQBR103_00540	pQBR106p_00134	pQBR11d_00548	pQBR124_00537	pQBR4_00648	pQBR43_00604	pQBR44d_00156	pQBR47p_00328	pQBR49_00702	pQBR5_00580	pQBR50d_00674	pQG1rel01_00540	pQG1rel02_00460	pQG1rel03_00460	pQG1rel04_00634	pQG1rel05_00535	pQG1rel06_00541	pQG1rel07_00535	pQG1rel08_00579	pQG1rel09_00527
g0254_0004	g0254	NA	DUF913 domain-containing protein	90	3	20	1	1	1	0	0	0	0	20	DUF913 domain-containing protein(20)	NA(20)	378	519	419.40	2	12	pQBR103_00529	pQBR106p_00133	pQBR11d_00547	pQBR124_00536	pQBR4_00647	pQBR43_00603	pQBR44d_00155	pQBR47p_00327	pQBR49_00701	pQBR5_00579	pQBR50d_00673	pQG1rel01_00529	pQG1rel02_00459	pQG1rel03_00459	pQG1rel04_00633	pQG1rel05_00534	pQG1rel06_00540	pQG1rel07_00534	pQG1rel08_00578	pQG1rel09_00526
g0252_0003	g0252	NA	Bacteriophage protein	80	3	20	1	1	1	0	0	0	0	20	Bacteriophage protein(15):Cupin-5 domain-containing protein(5)	NA(20)	540	540	540.00	2	13	pQBR103_00528	pQBR106p_00132	pQBR11d_00546	pQBR124_00535	pQBR4_00646	pQBR43_00602	pQBR44d_00154	pQBR47p_00326	pQBR49_00700	pQBR5_00578	pQBR50d_00672	pQG1rel01_00528	pQG1rel02_00458	pQG1rel03_00458	pQG1rel04_00632	pQG1rel05_00533	pQG1rel06_00539	pQG1rel07_00533	pQG1rel08_00577	pQG1rel09_00525
g0524_0003	g0524	NA	Glycine dehydrogenase	80	2	20	1	1	1	0	0	0	0	20	Glycine dehydrogenase(15):Glutamate--cysteine ligase(5)	NA(20)	303	303	303.00	2	14	pQBR103_00527	pQBR106p_00131	pQBR11d_00545	pQBR124_00534	pQBR4_00645	pQBR43_00601	pQBR44d_00153	pQBR47p_00325	pQBR49_00699	pQBR5_00577	pQBR50d_00671	pQG1rel01_00527	pQG1rel02_00457	pQG1rel03_00457	pQG1rel04_00631	pQG1rel05_00532	pQG1rel06_00538	pQG1rel07_00532	pQG1rel08_00576	pQG1rel09_00524
g0129_0003	g0129	NA	DUF3995 domain-containing protein	80	4	20	1	1	1	0	0	0	0	20	DUF3995 domain-containing protein(20)	NA(20)	444	450	445.50	2	15	pQBR103_00526	pQBR106p_00130	pQBR11d_00544	pQBR124_00533	pQBR4_00644	pQBR43_00600	pQBR44d_00152	pQBR47p_00324	pQBR49_00698	pQBR5_00576	pQBR50d_00670	pQG1rel01_00526	pQG1rel02_00456	pQG1rel03_00456	pQG1rel04_00630	pQG1rel05_00531	pQG1rel06_00537	pQG1rel07_00531	pQG1rel08_00575	pQG1rel09_00523
g0487_0004	g0487	NA	Response regulator	90	2	20	1	1	1	0	0	0	0	20	Response regulator(20)	NA(20)	399	399	399.00	2	16	pQBR103_00525	pQBR106p_00129	pQBR11d_00543	pQBR124_00532	pQBR4_00643	pQBR43_00599	pQBR44d_00151	pQBR47p_00323	pQBR49_00697	pQBR5_00575	pQBR50d_00669	pQG1rel01_00525	pQG1rel02_00455	pQG1rel03_00455	pQG1rel04_00629	pQG1rel05_00530	pQG1rel06_00536	pQG1rel07_00530	pQG1rel08_00574	pQG1rel09_00522
g0523_0004	g0523	NA	Transcriptional regulator	90	2	20	1	1	1	0	0	0	0	20	Transcriptional regulator(20)	NA(20)	306	306	306.00	2	17	pQBR103_00524	pQBR106p_00128	pQBR11d_00542	pQBR124_00531	pQBR4_00642	pQBR43_00598	pQBR44d_00150	pQBR47p_00322	pQBR49_00653	pQBR5_00574	pQBR50d_00668	pQG1rel01_00524	pQG1rel02_00454	pQG1rel03_00454	pQG1rel04_00628	pQG1rel05_00529	pQG1rel06_00535	pQG1rel07_00529	pQG1rel08_00573	pQG1rel09_00521
g0200_0003	g0200	NA	Sel1 repeat family protein	80	3	20	1	1	1	0	0	0	0	20	Sel1 repeat family protein(20)	NA(20)	1113	1188	1120.50	2	18	pQBR103_00523	pQBR106p_00127	pQBR11d_00541	pQBR124_00530	pQBR4_00641	pQBR43_00597	pQBR44d_00149	pQBR47p_00321	pQBR49_00652	pQBR5_00573	pQBR50d_00667	pQG1rel01_00523	pQG1rel02_00453	pQG1rel03_00453	pQG1rel04_00627	pQG1rel05_00528	pQG1rel06_00534	pQG1rel07_00528	pQG1rel08_00572	pQG1rel09_00520
g0521_0003	g0521	NA	Prevent-host-death protein	80	2	20	1	1	1	0	0	0	0	20	Prevent-host-death protein(20)	NA(20)	312	312	312.00	2	19	pQBR103_00522	pQBR106p_00126	pQBR11d_00540	pQBR124_00529	pQBR4_00640	pQBR43_00596	pQBR44d_00148	pQBR47p_00320	pQBR49_00651	pQBR5_00572	pQBR50d_00666	pQG1rel01_00522	pQG1rel02_00452	pQG1rel03_00452	pQG1rel04_00626	pQG1rel05_00527	pQG1rel06_00533	pQG1rel07_00527	pQG1rel08_00571	pQG1rel09_00519
g0100_0003	g0100	NA	FGGY-N domain-containing protein	80	4	20	1	1	1	0	0	0	0	20	FGGY-N domain-containing protein(20)	NA(20)	663	666	664.65	2	20	pQBR103_00521	pQBR106p_00125	pQBR11d_00539	pQBR124_00528	pQBR4_00639	pQBR43_00595	pQBR44d_00147	pQBR47p_00319	pQBR49_00650	pQBR5_00571	pQBR50d_00665	pQG1rel01_00521	pQG1rel02_00451	pQG1rel03_00451	pQG1rel04_00625	pQG1rel05_00526	pQG1rel06_00532	pQG1rel07_00526	pQG1rel08_00570	pQG1rel09_00518
g0279_0002	g0279	lrgA	Antiholin-like protein LrgA	70	3	20	1	1	1	0	0	0	0	20	Antiholin-like protein LrgA(15):Conserved membrane protein(5)	lrgA(15):NA(5)	147	444	369.75	3	1	pQBR103_00002	pQBR106p_00002	pQBR11d_00003	pQBR124_00002	pQBR4_00002	pQBR43_00002	pQBR44d_00002	pQBR47p_00002	pQBR49_00002	pQBR5_00002	pQBR50d_00002	pQG1rel01_00002	pQG1rel02_00003	pQG1rel03_00003	pQG1rel04_00003	pQG1rel05_00003	pQG1rel06_00003	pQG1rel07_00003	pQG1rel08_00003	pQG1rel09_00003
g0137_0002	g0137	NA	Peroxin-19	70	4	20	1	1	1	0	0	0	0	20	Peroxin-19(15):Phage protein(5)	NA(20)	408	411	410.25	3	2	pQBR103_00003	pQBR106p_00003	pQBR11d_00004	pQBR124_00003	pQBR4_00003	pQBR43_00003	pQBR44d_00003	pQBR47p_00003	pQBR49_00003	pQBR5_00003	pQBR50d_00003	pQG1rel01_00003	pQG1rel02_00004	pQG1rel03_00004	pQG1rel04_00004	pQG1rel05_00004	pQG1rel06_00004	pQG1rel07_00004	pQG1rel08_00004	pQG1rel09_00004
g0514_0003	g0514	NA	Peroxin-19	80	2	20	1	1	1	0	0	0	0	20	Peroxin-19(15):ATPase(5)	NA(20)	330	330	330.00	3	3	pQBR103_00004	pQBR106p_00004	pQBR11d_00005	pQBR124_00004	pQBR4_00004	pQBR43_00004	pQBR44d_00004	pQBR47p_00004	pQBR49_00004	pQBR5_00004	pQBR50d_00004	pQG1rel01_00004	pQG1rel02_00005	pQG1rel03_00005	pQG1rel04_00005	pQG1rel05_00005	pQG1rel06_00005	pQG1rel07_00005	pQG1rel08_00005	pQG1rel09_00005
g0332_0005	g0332	NA	DUF5598 domain-containing protein	95	3	20	1	1	1	0	0	0	0	20	DUF5598 domain-containing protein(20)	NA(20)	279	279	279.00	3	4	pQBR103_00005	pQBR106p_00005	pQBR11d_00006	pQBR124_00005	pQBR4_00005	pQBR43_00005	pQBR44d_00005	pQBR47p_00005	pQBR49_00005	pQBR5_00005	pQBR50d_00005	pQG1rel01_00005	pQG1rel02_00006	pQG1rel03_00006	pQG1rel04_00006	pQG1rel05_00006	pQG1rel06_00006	pQG1rel07_00006	pQG1rel08_00006	pQG1rel09_00006
g0298_0003	g0298	NA	Response regulatory domain-containing protein	80	3	20	1	1	1	0	0	0	0	20	Response regulatory domain-containing protein(15):Response regulator(5)	NA(20)	396	396	396.00	3	5	pQBR103_00006	pQBR106p_00006	pQBR11d_00007	pQBR124_00006	pQBR4_00006	pQBR43_00006	pQBR44d_00006	pQBR47p_00006	pQBR49_00006	pQBR5_00006	pQBR50d_00006	pQG1rel01_00006	pQG1rel02_00007	pQG1rel03_00007	pQG1rel04_00007	pQG1rel05_00007	pQG1rel06_00007	pQG1rel07_00007	pQG1rel08_00007	pQG1rel09_00007
g0445_0004	g0445	NA	Lipoprotein	90	2	20	1	1	1	0	0	0	0	20	Lipoprotein(20)	NA(20)	633	633	633.00	3	6	pQBR103_00007	pQBR106p_00007	pQBR11d_00008	pQBR124_00007	pQBR4_00007	pQBR43_00007	pQBR44d_00007	pQBR47p_00007	pQBR49_00007	pQBR5_00007	pQBR50d_00007	pQG1rel01_00007	pQG1rel02_00008	pQG1rel03_00008	pQG1rel04_00008	pQG1rel05_00008	pQG1rel06_00008	pQG1rel07_00008	pQG1rel08_00008	pQG1rel09_00008
