Name,Product,Colour
g0107,Transcriptional regulator,#F7BB24
g0113,Tir chaperone family protein,#6391E8
g0073,Tandem-95 repeat protein,#8C94C9
g0067,thermonuclease family protein,#EBB222
g0098,EAL domain-containing protein,#A797A8
g0059,ParB domain-containing protein,#6591E7
g0071,DUF4376 domain-containing protein,#D8A430
g0065,SUN domain-containing protein,#8993CC
g0139,Beta-ketoadipyl CoA thiolase,#D0A151
g0105,signal peptidase I,#8493D0
g0111,DUF3955 domain-containing protein,#D9A527
g0110,Histidine kinase,#9494C1
g0104,Single-stranded DNA-binding protein,#E0AA21
g0138,Cadherin domain-containing protein,#9094C5
g0064,HTH-35 domain-containing protein,#AC97A2
g0070,Type I site-specific deoxyribonuclease,#D0A151
g0058,CcmD family protein,#4E91F2
g0074,TraI-2 domain-containing protein,#7092E0
g0060,Cobalamine biosynthesis protein,#6191EA
g0048,Secreted protein,#3B90F9
g0100,HEPN-Cthe2314 domain-containing protein,#C29C77
g0114,DUF3846 domain-containing protein,#EAB122
g0128,Type III secretion protein,#7192E0
g0129,Inorganic phosphate transporter,#8B94CB
g0115,DUF2489 domain-containing protein,#E2AB21
g0101,Zf-DNA-Pol domain-containing protein,#5B91ED
g0049,DUF4942 domain-containing protein,#6D92E3
g0061,ISAzo13 family transposase,#8D94C9
g0075,conjugal transfer mating pair stabilization protein TraN,#BB9A87
g0088,Periplasmic serine proteases (ClpP class),#8493D0
g0063,Abasic site processing protein,#FABD24
g0077,putative chromosome-partitioning protein ParB,#6A92E4
g0117,Lipoprotein,#DFA921
g0103,Glycogen phosphorylase,#7F93D5
g0102,hypothetical protein,#DEA820
g0116,Translesion error-prone DNA polymerase V autoproteolytic subunit,#B69991
g0076,type I DNA topoisomerase,#7E93D6
g0062,Baseplate protein,#4B91F4
g0089,Alpha/beta hydrolase,#DFA921
g0039,Conjugal transfer protein TraH,#9895BC
g0005,Conjugative transfer protein TraA,#4090F8
g0011,organomercurial transporter MerC,#000000
g0207,Transcriptional regulator,#4F91F2
g0213,MFS domain-containing protein,#000000
g0159,Uncharacterized protein PA14_35840,#000000
g0171,Tn3 family transposase post-transcriptional regulator TnpC,#000000
g0165,Transmembrane protein,#3A90F9
g0170,DUF2185 domain-containing protein,#000000
g0206,PbsX family transcriptional regulator,#000000
g0010,mercuric ion transporter MerT,#000000
g0004,MCD-N domain-containing protein,#4791F5
g0038,type IV secretion system protein TraC,#7992DA
g0012,DUF4400 domain-containing protein,#6C92E3
g0006,IS66 family insertion sequence element accessory protein TnpB,#000000
g0238,AAA-lid-3 domain-containing protein,#000000
g0204,Transcriptional regulator,#000000
g0199,hypothetical protein,#4A91F4
g0172,Zn-protease domain-containing protein,#000000
g0173,Cobalt-zinc-cadmium resistance protein CzcI,#000000
g0205,50S ribosomal protein L11 methyltransferase,#4D91F3
g0007,IncF plasmid conjugative transfer pilus assembly protein TraE,#5991EE
g0013,organomercurial lyase MerB,#000000
g0017,HTH cro/C1-type domain-containing protein,#5591EF
g0003,type IV conjugative transfer system lipoprotein TraV,#3D90F8
g0201,dUTPase,#000000
g0229,Transposase,#000000
g0163,DUF4363 domain-containing protein,#000000
g0177,Phage protein,#000000
g0176,type II toxin-antitoxin system ChpB family toxin,#3990FA
g0162,Mediator of RNA polymerase II transcription subunit 10,#3890FA
g0200,Phage protein,#8493D1
g0214,Dystrophin,#2F90FC
g0002,Partitioning protein,#7A92D9
g0016,TnpR protein,#2190FF
g0014,mercury resistance system periplasmic binding protein MerP,#000000
g0028,PAPS-reduct domain-containing protein,#5C91EC
g0174,FprA family A-type flavoprotein,#2190FE
g0160,Histidine kinase,#7692DC
g0149,Ni(II)/Co(II) efflux transporter permease subunit MrdH,#000000
g0161,CHAD domain-containing protein,#000000
g0217,Lipoprotein,#000000
g0203,IS3 family transposase ORF A,#000000
g0029,DNA helicase,#7992D9
g0015,Hg(II)-responsive transcriptional regulator,#000000
g0001,type IV conjugative transfer system protein TraL,#3A90F9
g0166,DUF3578 domain-containing protein,#4d4d4d
g0164,Inner membrane protein,#4d4d4d
g0192,hypothetical protein,#4d4d4d
g0221,hypothetical protein,#4d4d4d
g0211,Bacteriophage holin family HP1,#4d4d4d
g0181,hypothetical protein,#4d4d4d
g0178,MFS domain-containing protein,#4d4d4d
g0219,hypothetical protein,#4d4d4d
g0196,Transcriptional regulator,#4d4d4d
g0158,Tyr recombinase domain-containing protein,#4d4d4d
g0225,XRE family transcriptional regulator,#4d4d4d
g0220,Transcriptional regulator,#4d4d4d
g0212,hypothetical protein,#4d4d4d
g0216,Transposase,#4d4d4d
g0180,Ribonuclease Z,#4d4d4d
g0210,Antitoxin,#4d4d4d
g0224,Plastocyanin-like domain-containing protein,#4d4d4d
g0148,Ig-like domain-containing protein,#4d4d4d
g0209,hypothetical protein,#4d4d4d
g0150,DUF1173 domain-containing protein,#4d4d4d
g0236,hypothetical protein,#4d4d4d
g0215,hypothetical protein,#4d4d4d
g0198,Nitrogenase-stabilizing/protective protein NifW,#4d4d4d
g0157,EAL domain-containing protein,#4d4d4d
g0175,hypothetical protein,#4d4d4d
g0202,hypothetical protein,#4d4d4d
g0223,hypothetical protein,#4d4d4d
g0189,hypothetical protein,#4d4d4d
g0239,hypothetical protein,#4d4d4d
g0167,hypothetical protein,#4d4d4d
g0184,hypothetical protein,#4d4d4d
g0191,hypothetical protein,#4d4d4d
g0228,SH3 domain-containing protein,#4d4d4d
g0145,type IV secretion system protein TraC,#4d4d4d
g0188,hypothetical protein,#4d4d4d
