Name,Product,Colour
g0280,AAA-5 domain-containing protein,#000000
g0257,DNA primase,#1B2942
g0243,RNA-pol-sigma70 domain-containing protein,#000000
g0519,DUF2793 domain-containing protein,#000000
g0486,30S ribosomal protein S10,#000000
g0492,Transglut-core3 domain-containing protein,#2B90FD
g0445,Lipoprotein,#5B91ED
g0323,DUF1471 domain-containing protein,#21395F
g0337,DUF58 domain-containing protein,#254B81
g0451,Lipoprotein,#265591
g0479,Transmembrane protein,#000000
g0121,Lactate permease,#B6998F
g0647,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,#4290F7
g0653,hypothetical protein,#000000
g0135,Putative transmembrane protein,#DAA520
g0109,Reelin domain-containing protein,#4490F6
g0108,ABC transporter permease,#7192E0
g0134,Sel1 repeat family protein,#4190F7
g0120,Putative transmembrane thiol:disulfide interchange protein DsbD,#6591E7
g0646,hypothetical protein,#000000
g0336,Sel1 repeat family protein,#000000
g0450,Type II secretion system protein GspD,#2674CB
g0444,4a-hydroxytetrahydrobiopterin dehydratase,#276ABA
g0322,ANK-REP-REGION domain-containing protein,#1B2942
g0493,LPD25 domain-containing protein,#000000
g0487,Interferon alpha inducible protein 27 like 1,#000000
g0518,Peptidyl-prolyl cis-trans isomerase,#000000
g0242,Radical SAM protein,#1F3557
g0524,Conjugal transfer protein,#265999
g0530,Arginine--tRNA ligase,#000000
g0256,Conjugal transfer protein TraH,#1B2942
g0281,T2SSF domain-containing protein,#24487A
g0068,Peptidase-M78 domain-containing protein,#2E90FC
g0040,ThiF domain-containing protein,#172134
g0054,Lipoprotein,#234575
g0138_1,Prepilin-type N-terminal cleavage/methylation domain-containing protein,#20385D
g0083,DNA-LIGASE-A3 domain-containing protein,#5F91EB
g0097,hypothetical protein,#6391E8
g0081,Sulfate exporter family transporter,#3690FA
g0095,recombination-associated protein RdgC,#5391F1
g0042,HTH cro/C1-type domain-containing protein,#213C65
g0056,HTH araC/xylS-type domain-containing protein,#2190FF
g0283,DNA helicase,#234372
g0240,Radical SAM protein,#1B2A43
g0254,TrwB-AAD-bind domain-containing protein,#131824
g0532,Reductase,#000000
g0268,Radical SAM protein,#000000
g0491,SHSP domain-containing protein,#254D84
g0485,Restriction endonuclease,#6591E7
g0334,DUF551 domain-containing protein,#4B91F4
g0320,IS3 family ISPpu33 transposase ORF B,#000000
g0446,HTH-17 domain-containing protein,#2672C8
g0308,Integrase catalytic domain-containing protein,#172031
g0136,Transcriptional regulator,#9C95B7
g0650,DNA-binding protein,#4A91F4
g0644,SAM-dependent methyltransferase,#000000
g0122,DUF4942 domain-containing protein,#7592DD
g0645,hypothetical protein,#000000
g0123,DNA helicase,#D1A14C
g0137,PLDc-2 domain-containing protein,#A496AD
g0651,Programmed cell death antitoxin YdcD,#000000
g0309,Tetratricopeptide repeat protein,#000000
g0321,DUF659 domain-containing protein,#20395E
g0447,DUF4303 domain-containing protein,#2B90FD
g0453,Pilus assembly protein,#000000
g0335,Pirin-C domain-containing protein,#265898
g0484,DksA C4-type domain-containing protein,#000000
g0490,Type III effector protein,#3690FA
g0269,AH domain-containing protein,#4A91F4
g0255,Exodeoxyribonuclease I,#000000
g0533,DUF1281 domain-containing protein,#000000
g0527,Transmembrane protein,#000000
g0296,hypothetical protein,#000000
g0282,Transcriptional regulator,#000000
g0057,Transmembrane protein,#3090FC
g0043,3-phosphoshikimate 1-carboxyvinyltransferase,#275FA5
g0094,PIN domain-containing protein,#2390FE
g0138_2,Putative pilin-related protein,#22406C
g0080,VRR-NUC domain-containing protein,#2590FE
g0099,Single-stranded DNA-binding protein,#2B90FD
g0066,DUF262 domain-containing protein,#3B90F9
g0072,Cupin,#266EC1
g0112_1,NAD-dependent protein deacylase,#1C2B45
g0264,RNase NYN domain-containing protein,#000000
g0502,Lipoprotein,#5991EE
g0516,Cobalt-zinc-cadmium resistance protein CzcI,#000000
g0270,DUF3800 domain-containing protein,#26518C
g0489,Methyltransferase,#2890FD
g0338,Type-F conjugative transfer system secretin TraK,#000000
g0310,Site-specific recombinase XerD,#000000
g0476,TrbC/VirB2 family protein,#24497C
g0462,DUF4129 domain-containing protein,#000000
g0304,Tn4652 cointegrate resolution protein,#000000
g0648,hypothetical protein,#000000
g0106,Response regulatory domain-containing protein,#2590FE
g0107,Peroxin-19,#3490FB
g0649,hypothetical protein,#000000
g0463,SLT domain-containing protein,#000000
g0305,RsbR%2C positive regulator of sigma-B,#223D66
g0311,Transmembrane protein,#1F3457
g0477,Putative transmembrane protein,#000000
g0339,CheR-type methyltransferase domain-containing protein,#182337
g0488,AsmA-2 domain-containing protein,#000000
g0517,Lytic transglycosylase,#000000
g0265,Tyr recombinase domain-containing protein,#9494C0
g0503,Inner membrane protein,#000000
g0259,PLD phosphodiesterase domain-containing protein,#000000
g0073,Amidohydro-3 domain-containing protein,#223D67
g0067,Menaquinone-specific isochorismate synthase,#234472
g0098,Curli production assembly/transport component CsgG,#5791EF
g0059,FGGY-N domain-containing protein,#1E90FF
g0071,Phage protein,#26518B
g0065,Integral membrane protein,#2760A7
g0529,Putative transmembrane protein,#000000
g0273,HEPN-Apea domain-containing protein,#254E85
g0501,Transcriptional regulator,#2290FE
g0449,CHAD domain-containing protein,#000000
g0307,ParB domain-containing protein,#2190FF
g0461,Translation initiation factor IF-2,#000000
g0475,hypothetical protein,#000000
g0313,Lipoprotein,#5291F1
g0139,MIB/HERC2 domain-containing protein,#5891EE
g0105,Arc domain-containing protein,#5891EE
g0111,Myb-like domain-containing protein,#BD9B82
g0104,Beta-ketoacyl synthase,#3F90F8
g0474,DUF2958 domain-containing protein,#000000
g0312,Conserved hypothetical exported protein,#192338
g0306,DNA-binding protein,#171F30
g0460,PaREP2b,#000000
g0448,AbiV family abortive infection protein,#000000
g0500,Transmembrane protein,#000000
g0266,Toprim domain-containing protein,#3890FA
g0272,Transmembrane protein,#1D2E4A
g0514,Tn3 family transposase post-transcriptional regulator TnpC,#000000
g0299,Transposase,#20365A
g0064,Exported protein,#2690FE
g0070,Lipoprotein,#3E90F8
g0058,Prevent-host-death protein,#2D90FC
g0074,LPD18 domain-containing protein,#4290F7
g0060,Lipoprotein,#213B64
g0048,KilA-N domain-containing protein,#5791EE
g0289,Endonuclease/exonuclease/phosphatase family protein,#2768B6
g0510,Transglut-core3 domain-containing protein,#4E91F2
g0276,Radical SAM protein,#000000
g0262,UmuC domain-containing protein,#000000
g0504,DUF2591 domain-containing protein,#000000
g0538,DUF4262 domain-containing protein,#2190FF
g0316,CheB-type methylesterase domain-containing protein,#000000
g0470,AsnC family protein,#000000
g0458,Alpha/beta hydrolase,#000000
g0100,hypothetical protein,#9094C5
g0128,SAVED domain-containing protein,#7692DC
g0129,zf-C2H2-3 domain-containing protein,#D3A244
g0115,Transmembrane protein,#7A92D9
g0101,HD domain-containing protein,#5E91EB
g0459,BRCT domain-containing protein,#000000
g0317,Transmembrane protein,#20365A
g0471,AraC family transcriptional regulator,#000000
g0303,Twin-arginine translocation signal domain-containing protein,#223D67
g0539,Malate synthase,#3D90F9
g0263,PLD phosphodiesterase domain-containing protein,#151C2B
g0505,YkgJ family cysteine cluster protein,#000000
g0511,SCP2 domain-containing protein,#2E90FC
g0277,Transmembrane protein,#000000
g0288,DUF1963 domain-containing protein,#171F30
g0049,RNase III domain-containing protein,#2B90FD
g0061,YbjN domain-containing protein,#247DDD
g0075,Glycine dehydrogenase,#2E90FC
g0088,Replication protein,#4090F7
g0063,Lipoprotein,#254A7F
g0077,Lipoprotein,#2090FF
g0507,Phytanoyl-CoA dioxygenase,#000000
g0261,Methyltransferase,#000000
g0275,Arylsulfatase regulatory protein,#151B29
g0513,Putative transmembrane protein,#3390FB
g0249,Response regulator receiver modulated diguanylate cyclase,#131824
g0498,Mrr-N domain-containing protein,#1F90FF
g0473,Transferred entry: 5-62-1,#3D90F8
g0315,SCP domain-containing protein,#000000
g0467,Putative exported protein,#000000
g0117,DUF2829 domain-containing protein,#8F94C6
g0103,OrfB-Zn-ribbon domain-containing protein,#4490F6
g0102,Antitoxin HicB,#5991ED
g0116,DUF222 domain-containing protein,#5A91ED
g0328,HTH psq-type domain-containing protein,#000000
g0300,nucleoid-associated protein YejK,#182235
g0466,Putative exported protein,#3A90F9
g0472,Peptidase-S24 domain-containing protein,#000000
g0314,PDDEXK-1 domain-containing protein,#244576
g0499,Bestrophin-like protein,#000000
g0274,ParB domain-containing protein,#6191EA
g0512,PilZ domain-containing protein,#000000
g0506,Copper resistance protein,#000000
g0260,HNHc domain-containing protein,#6791E6
g0076,Amidophosphoribosyltransferase,#234270
g0062,WYL domain-containing protein,#257CDA
g0089,Rieske domain-containing protein,#2767B4
g0039,Addiction module protein,#2790FE
g0005,Transposase,#000000
g0011,PRTRC system protein B,#000000
g0549,HTH merR-type domain-containing protein,#2763AD
g0561,DUF3700 domain-containing protein,#2767B4
g0207,hypothetical protein,#F2B723
g0398,YIP1 family protein,#000000
g0429,Nucleoside 2-deoxyribosyltransferase,#3890FA
g0415,Putative transmembrane rhomboid family protein,#000000
g0373,Putative transmembrane protein,#26528D
g0367,RusA family crossover junction endodeoxyribonuclease,#275A9C
g0159,Lipoprotein,#DCA720
g0171,DUF4376 domain-containing protein,#A897A7
g0617,Transposase,#000000
g0165,DUF2511 domain-containing protein,#7992DA
g0602,MFS domain-containing protein,#000000
g0164,DUF913 domain-containing protein,#7492DE
g0170,PRTRC system protein E,#6C92E3
g0616,DUF190 domain-containing protein,#7892DA
g0158,Zpr1 domain-containing protein,#3B90F9
g0366,Type IV pilus biogenesis protein PilP,#1C2B45
g0400,MIF4G domain-containing protein,#000000
g0414,Phage tail protein,#000000
g0372,PG-binding-3 domain-containing protein,#2990FD
g0428,ADF-H domain-containing protein,#000000
g0399,PH domain-containing protein,#2690FE
g0212,DNA helicase,#2285EB
g0574,Thiolase-N domain-containing protein,#257CD9
g0560,metal-sensing transcriptional repressor MreA,#000000
g0206,Transposase,#B49994
g0548,TRAP transporter large permease subunit,#000000
g0010,CBM-48 domain-containing protein,#000000
g0004,DNA-binding protein,#000000
g0038,Nicotinamide riboside transporter PnuC,#6B92E4
g0012,organomercurial transporter MerC,#000000
g0006,Ferredoxin,#000000
g0589,Phage protein,#2090FF
g0238,TPR-REGION domain-containing protein,#000000
g0576,Phage protein,#3090FC
g0204,Small CPxCG-related zinc finger protein,#8D94C8
g0562,Exported protein,#3A90F9
g0358,PspA/IM30 family protein,#1B2A44
g0402,Translation initiation factor IF-2,#000000
g0364,SLT domain-containing protein,#000000
g0370,Octopine-DH domain-containing protein,#2090FF
g0416,Sel1 repeat family protein,#2790FE
g0199,HPr kinase/phosphorylase,#6291E9
g0628,AbrB family transcriptional regulator,#000000
g0166,Putative transmembrane protein,#DBA620
g0600,CheW-like domain-containing protein,#000000
g0614,HEPN domain-containing protein,#000000
g0172,hypothetical protein,#BA9A89
g0615,Sporulation protein YjcZ,#3690FA
g0173,TM2 domain-containing protein,#B89A8C
g0167,Putative DNAJ family protein,#7992D9
g0601,DNA-damage-inducible protein J,#000000
g0629,PAC domain-containing protein,#4F91F2
g0198,VbhA domain-containing protein,#3790FA
g0371,DUF2491 domain-containing protein,#000000
g0417,RNA-binding protein,#213B62
g0365,Restriction endonuclease,#3D90F8
g0359,DUF4261 domain-containing protein,#3890FA
g0205,Transposase,#AC97A2
g0563,Signal peptide protein,#5791EE
g0577,Glyco-hydro-3 domain-containing protein,#3290FB
g0211,DUF4350 domain-containing protein,#26538E
g0239,Phosphoglycerol transferase MdoB/OpgB%2C AlkP superfamily,#000000
g0588,Ribosomal protein S3,#2E90FC
g0007,Alpha-carbonic anhydrase domain-containing protein,#000000
g0013,Transposase,#000000
g0017,DUF2185 domain-containing protein,#000000
g0003,Roadblock/LC7 domain-containing protein,#000000
g0598,Type III secretion system protein,#000000
g0215,P-loop-TraG domain-containing protein,#4090F7
g0567,DUF1421 domain-containing protein,#000000
g0201,Oxidase,#7792DB
g0229,Restriction endonuclease subunit S,#11151F
g0361,SprT-like domain-containing protein,#1B2A44
g0407,DUF262 domain-containing protein,#276BBA
g0375,MEDS domain-containing protein,#1E304F
g0349,Sigma-70 family RNA polymerase sigma factor,#000000
g0188,Tail assembly chaperone,#A897A7
g0605,Peptidase,#000000
g0163,DUF2059 domain-containing protein,#A496AD
g0177,Peroxin-19,#3A90F9
g0611,TFIIB-type domain-containing protein,#000000
g0639,ATPase,#000000
g0638,Conserved domain protein,#2490FE
g0176,DUF551 domain-containing protein,#5D91EC
g0610,Zf-TFIIB domain-containing protein,#208CF8
g0604,hypothetical protein,#000000
g0162,Sema domain-containing protein,#D7A430
g0189,Crp/Fnr family transcriptional regulator,#7C93D8
g0348,Protein phosphatase 2C domain-containing protein,#254A7F
g0412,CHAT domain-containing protein,#000000
g0374,VWFA domain-containing protein,#000000
g0360,Nucleotidyl transferase AbiEii/AbiGii toxin family protein,#2D90FC
g0406,GST C-terminal domain-containing protein,#000000
g0228,PHB domain-containing protein,#213B62
g0566,DUF2090 domain-containing protein,#000000
g0214,Tn3 family transposase,#000000
g0572,Phospholipid scramblase,#000000
g0599,Plasmid stabilization protein,#000000
g0002,DUF2513 domain-containing protein,#2768B5
g0016,Protein-tyrosine-phosphatase,#000000
g0014,Transcriptional regulator,#000000
g0028,organomercurial lyase MerB,#000000
g0202,Transposase,#5891EE
g0564,Phage protein,#2675CD
g0216,PDDEXK-1 domain-containing protein,#203659
g0558,Transcriptional regulator,#000000
g0389,TENA-THI-4 domain-containing protein,#2762AB
g0376,WLM domain-containing protein,#000000
g0410,oligoribonuclease,#000000
g0404,DUF3846 domain-containing protein,#2382E5
g0362,Putative acetyltransferase,#000000
g0612,VbhA domain-containing protein,#000000
g0174,Putative transmembrane protein,#9E95B6
g0160,FAA-hydrolase domain-containing protein,#5491F0
g0606,Transposase,#5491F0
g0148,Putative partitioning protein,#7692DC
g0149,Tail assembly chaperone,#4F91F2
g0161,Bacteriophage protein,#7092E0
g0607,Cytochrome B5,#000000
g0613,Phage tail protein,#000000
g0175,Transposase,#C29C77
g0439,Restriction endonuclease,#2671C5
g0405,TPR-REGION domain-containing protein,#000000
g0363,Glyco-hydro-15 domain-containing protein,#2390FE
g0411,Integrase,#000000
g0388,hypothetical protein,#000000
g0571,Transposase,#000000
g0217,Autotransporter domain-containing protein,#1B2942
g0203,Ald-Xan-dh-C2 domain-containing protein,#DDA720
g0565,RNA-binding protein,#3790FA
g0029,Helicase ATP-binding domain-containing protein,#254F87
g0015,Transcriptional regulator,#2761A7
g0001,RNA polymerase sigma factor RpoH,#171F31
g0620,hypothetical protein,#4d4d4d
g0244,TnsD domain-containing protein,#4d4d4d
g0112_2,NAD-dependent protein deacylase,#4d4d4d
g0251,IS66 family ISPpu14 transposase,#4d4d4d
g0531,IS66 family insertion sequence element accessory protein TnpB,#4d4d4d
g0369,DNA-binding response regulator%2C OmpR family%2C contains REC and winged-helix (wHTH) domain,#4d4d4d
g0246,heavy metal translocating P-type ATPase,#4d4d4d
g0110_1,Uncharacterized conserved protein involved in copper resistance,#4d4d4d
g0301,ImmA/IrrE family metallo-endopeptidase,#4d4d4d
g0528,Periplasmic Cu and Ag efflux protein CusF,#4d4d4d
g0213,Cu/Ag efflux pump CusA,#4d4d4d
g0114_2,Transposase,#4d4d4d
g0515,Periplasmic heavy metal sensor,#4d4d4d
g0377,Protein-S-isoprenylcysteine O-methyltransferase Ste14,#4d4d4d
g0253,Periplasmic Cu and Ag efflux protein CusF,#4d4d4d
g0440,Archaeal adenylate kinase,#4d4d4d
g0119,Transposase,#4d4d4d
g0623,Signal peptide protein,#4d4d4d
g0544,Transposase InsE and inactivated derivatives,#4d4d4d
g0330,Aminopropyltransferase BpsA%2C N(4)-bis(aminopropyl)spermidine biosynthesis,#4d4d4d
g0534,DUF2790 domain-containing protein,#4d4d4d
g0124,Signal transduction histidine kinase,#4d4d4d
g0438,PLDc-2 domain-containing protein,#4d4d4d
g0385,PINc domain-containing protein,#4d4d4d
g0570,DUF1722 domain-containing protein,#4d4d4d
g0581,DUF2933 domain-containing protein,#4d4d4d
g0495,AsnC family protein,#4d4d4d
g0627,Copper chaperone CopZ,#4d4d4d
g0409,Glyco-hydro-42C domain-containing protein,#4d4d4d
g0114_1,Cystathionine gamma-lyase,#4d4d4d
g0113,Uncharacterized conserved protein involved in copper resistance,#4d4d4d
g0297,40-residue YVTN family beta-propeller repeat protein,#4d4d4d
g0464,Signal peptide protein,#4d4d4d
g0258,Transposase,#4d4d4d
g0343,Cation-transporting P-type ATPase,#4d4d4d
g0351,Ig-GlcNase domain-containing protein,#4d4d4d
g0278,TniQ protein,#4d4d4d
g0154,Phage protein,#4d4d4d
g0267,Outer membrane protein TolC,#4d4d4d
g0110_2,Copper resistance system multicopper oxidase,#4d4d4d
g0585,Xre-MbcA-ParS-C domain-containing protein,#4d4d4d
g0559,Small CPxCG-related zinc finger protein,#4d4d4d
g0465,DUF411 domain-containing protein,#4d4d4d
g0456,Fis family transcriptional regulator,#4d4d4d
g0457,Nicotinamide-nucleotide adenylyltransferase,#4d4d4d
g0112_3,NAD-dependent protein deacylase,#4d4d4d
g0421,Alpha-E domain-containing protein,#4d4d4d
g0295,DUF5677 domain-containing protein,#4d4d4d
g0353,Methyltransf-12 domain-containing protein,#4d4d4d
g0596,hypothetical protein,#4d4d4d
g0248,Molecular chaperone DnaJ,#4d4d4d
g0302,DUF3829 domain-containing protein,#4d4d4d
g0652,hypothetical protein,#4d4d4d
g0590,DUF1801 domain-containing protein,#4d4d4d
